 ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Continuous interest rate (after tax), Net Value Per Share (B), Net Value Per Share (A), Persistent EPS in the Last Four Seasons, Per Share Net profit before tax, Interest Expense Ratio, Debt ratio %, Net worth/Assets, Borrowing dependency, Net profit before tax/Paid-in capital, Retained Earnings to Total Assets, Net Income to Total Assets, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Equity to Liability
0.493784429386243,0.550152638464893,0.544622303121152,0.781615869345354,0.200918629640555,0.200918629640555,0.221423844190224,0.176997815771635,0.630702319146313,0.0544789430722254,0.945521056927775,0.36963718146295,0.175145162506598,0.932936653432004,0.806631153178054,0.840649142806498,0.276281060078205,0.0268140265355971,0.565265134019801,0.0707422420187225
0.534392824062789,0.590765372873964,0.573424701536485,0.781620641287234,0.195946230668746,0.195946230668746,0.249030916138792,0.206748512465165,0.630861221079163,0.160474045409197,0.839525954590803,0.375230102687868,0.205821582082799,0.942161821567893,0.827722689505898,0.843248340821793,0.282615349927963,0.0268519556825576,0.565432526476967,0.0224326507495109
0.526397894018427,0.586894897514174,0.566518550243589,0.781718466095774,0.187897686570309,0.187897686570309,0.230689231351045,0.188898094449047,0.630613279270147,0.0644556640565952,0.935544335943405,0.36963718146295,0.187218158509916,0.941995187575172,0.828627376729205,0.84198248558806,0.276632017382476,0.0267913862964065,0.565159490320713,0.0598557808106682
0.469702140106274,0.536851286524204,0.521066438246159,0.781571518356116,0.183051704521512,0.183051704521512,0.216412971542025,0.172102131505611,0.632829687264558,0.170722858784049,0.829277141215951,0.372887137287707,0.171140939597315,0.935161825288637,0.797846252758219,0.840247595656774,0.283786045875366,0.0276726747023104,0.567450036739136,0.0208638372117984
0.391556573879979,0.443196685564762,0.432464264682264,0.777918035442054,0.162150773250179,0.162150773250179,0.202609435567741,0.15711380582963,0.63061225188696,0.0141488043051063,0.985851195694894,0.36963718146295,0.160312193650554,0.917001641857663,0.756573066119897,0.838114804379503,0.275113979132352,0.0267911566924924,0.565158395757604,0.23395166569171
0.450397309023546,0.514991277802006,0.504737941003266,0.7814477285697,0.176730858370907,0.176730858370907,0.209416658787936,0.165097537094223,0.630158490979576,0.0785742358738701,0.92142576412613,0.372146782588468,0.164361662016439,0.929163711026295,0.785683976118007,0.839390971499023,0.277183287639514,0.0266843438826371,0.56459182283359,0.0489220400938951
0.497733144834983,0.562309201918884,0.553616360618877,0.78169348357652,0.170999957861026,0.170999957861026,0.221707478491065,0.174738269187316,0.63061225188696,0.0319255071499834,0.968074492850017,0.36963718146295,0.17379533971797,0.937330714658894,0.81395106610459,0.840979368486873,0.275584993155416,0.0267911566924924,0.565158395757604,0.11734925984827
0.491834446448594,0.554949847361535,0.546549601156379,0.78160043070986,0.169103704015844,0.169103704015844,0.222747470927484,0.17631995179634,0.63184853632142,0.18326934123409,0.81673065876591,0.384541572817575,0.175378930699042,0.927602806218188,0.805667817279485,0.841217129411937,0.285509931658221,0.0273006905068296,0.566797593496233,0.0191712254482079
0.864963681567786,0.942706061927606,0.932598104823599,0.781959589511945,0.19699970502718,0.200918629640555,0.315779521603479,0.256081946222791,0.63061225188696,0.0513952293134202,0.94860477068658,0.36963718146295,0.253955206997964,0.956446543523859,0.959320116844828,0.84923564272547,0.276178369930925,0.0267911566924924,0.565158395757604,0.0748928531630004
0.486179495929411,0.53494330571304,0.540767707050699,0.781546676188094,0.146601491719692,0.146601491719692,0.211969367495509,0.168110265873315,0.643327831125601,0.202618133446201,0.797381866553799,0.382053220542942,0.167106553050298,0.897770678172188,0.796118414173211,0.84006556493295,0.289052513546625,0.0245926874205171,0.574861151400624,0.0169675708463632
